Country Name,Country Code,Share of consumer expenditure on food (USDA (2017)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Year
Jordan,JOR,38.0,10145.8369140625,9494250.0,2015
Jordan,JOR,30.0,10036.5439453125,9964659.0,2016
Kazakhstan,KAZ,43.0,24290.41796875,17835908.0,2015
Kazakhstan,KAZ,43.0,24210.86328125,18078558.0,2016
Kenya,KEN,47.0,4075.501953125,46851496.0,2015
Kenya,KEN,52.0,4145.640625,47894668.0,2016
Kuwait,KWT,18.0,54834.390625,3908745.0,2015
Kuwait,KWT,18.0,54708.98046875,4048090.0,2016
Latvia,LVA,20.0,26628.458984375,1991951.0,2015
Latvia,LVA,19.0,27509.173828125,1973477.0,2016
Lithuania,LTU,23.0,30748.197265625,2963764.0,2015
Lithuania,LTU,23.0,31925.802734375,2933676.0,2016
Malaysia,MYS,21.0,24787.82421875,31068834.0,2015
Malaysia,MYS,21.0,25541.771484375,31526414.0,2016
Mexico,MEX,23.0,19268.9140625,120149896.0,2015
Mexico,MEX,23.0,19539.26171875,121519224.0,2016
Montenegro,MNE,19.0,18263.58984375,633969.0,2015
Montenegro,MNE,18.0,18797.8828125,633264.0,2016
Morocco,MAR,35.0,7126.2841796875,34680456.0,2015
Morocco,MAR,35.0,7105.85595703125,35107272.0,2016
Netherlands,NLD,12.0,52974.1171875,17041110.0,2015
Netherlands,NLD,12.0,53847.828125,17124512.0,2016
New Zealand,NZL,15.0,41086.1171875,4590591.0,2015
New Zealand,NZL,14.0,41672.1015625,4668088.0,2016
Nigeria,NGA,56.0,5514.7705078125,183995776.0,2015
Nigeria,NGA,59.0,5284.89306640625,188666928.0,2016
North Macedonia,MKD,32.0,15139.251953125,2107965.0,2015
North Macedonia,MKD,32.0,15553.439453125,2110194.0,2016
Norway,NOR,12.0,62987.515625,5190357.0,2015
Norway,NOR,12.0,63104.08203125,5236591.0,2016
Pakistan,PAK,41.0,4278.3466796875,210969296.0,2015
Pakistan,PAK,42.0,4421.58203125,213524848.0,2016
Peru,PER,36.0,12110.2666015625,30711864.0,2015
Peru,PER,26.0,12403.6875,31132776.0,2016
Philippines,PHL,42.0,7300.13623046875,103031360.0,2015
Philippines,PHL,42.0,7705.0537109375,104875272.0,2016
Poland,POL,17.0,27797.05859375,38553148.0,2015
Poland,POL,17.0,28682.693359375,38532108.0,2016
Portugal,PRT,17.0,31118.791015625,10365436.0,2015
Portugal,PRT,17.0,31847.537109375,10332751.0,2016
Qatar,QAT,12.0,95965.25,2414580.0,2015
Qatar,QAT,12.0,95601.8046875,2595175.0,2016
Romania,ROU,28.0,23878.171875,19906078.0,2015
Romania,ROU,30.0,25144.99609375,19797820.0,2016
Russia,RUS,28.0,25488.095703125,144668384.0,2015
Russia,RUS,30.0,25490.708984375,145109152.0,2016
Saudi Arabia,SAU,25.0,48921.21484375,32749838.0,2015
Saudi Arabia,SAU,21.0,48625.84375,33416272.0,2016
Serbia,SRB,25.0,15578.208984375,7519501.0,2015
Serbia,SRB,24.0,16182.828125,7493288.0,2016
Singapore,SGP,7.0,89519.734375,5650020.0,2015
Singapore,SGP,7.0,91307.5,5711936.0,2016
Slovakia,SVK,18.0,28719.86328125,5424449.0,2015
Slovakia,SVK,18.0,29236.921875,5431205.0,2016
Slovenia,SVN,15.0,33799.7265625,2080865.0,2015
Slovenia,SVN,15.0,34853.04296875,2090020.0,2016
South Africa,ZAF,19.0,14010.1044921875,55876504.0,2015
South Africa,ZAF,19.0,13897.1396484375,56422272.0,2016
South Korea,KOR,13.0,38828.7421875,50994396.0,2015
South Korea,KOR,13.0,39814.66015625,51309984.0,2016
Spain,ESP,13.0,37377.06640625,46431344.0,2015
Spain,ESP,14.0,38477.578125,46473320.0,2016
Sweden,SWE,13.0,50928.96484375,9849344.0,2015
Sweden,SWE,13.0,51334.43359375,9953322.0,2016
Switzerland,CHE,9.0,68025.921875,8281735.0,2015
Switzerland,CHE,9.0,68663.2421875,8372902.0,2016
Thailand,THA,26.0,16285.38671875,70294408.0,2015
Thailand,THA,26.0,16782.099609375,70607032.0,2016
Tunisia,TUN,22.0,11112.853515625,11557779.0,2015
Tunisia,TUN,22.0,11113.7744140625,11685666.0,2016
Turkey,TUR,22.0,25958.640625,79646176.0,2015
Turkey,TUR,21.0,26385.001953125,81019400.0,2016
Turkmenistan,TKM,38.0,12993.5322265625,5766427.0,2015
Turkmenistan,TKM,38.0,13562.5283203125,5868568.0,2016
Ukraine,UKR,38.0,11216.1181640625,44982568.0,2015
Ukraine,UKR,38.0,11536.31640625,44833568.0,2016
United Arab Emirates,ARE,14.0,65267.4140625,8916909.0,2015
United Arab Emirates,ARE,14.0,66510.890625,8994266.0,2016
United Kingdom,GBR,8.0,45041.05859375,65224368.0,2015
United Kingdom,GBR,8.0,45712.78515625,65655204.0,2016
United States,USA,6.0,58540.296875,324607776.0,2015
United States,USA,6.0,59112.2421875,327210208.0,2016
Uruguay,URY,18.0,22425.830078125,3402820.0,2015
Uruguay,URY,19.0,22724.021484375,3413768.0,2016
Uzbekistan,UZB,31.0,6401.115234375,30949416.0,2015
Uzbekistan,UZB,30.0,6663.94970703125,31453576.0,2016
Vietnam,VNM,35.0,6438.259765625,92191400.0,2015
Vietnam,VNM,39.0,6767.77880859375,93126528.0,2016
